[Tue Jan 12 19:07:08.090479 2016] [:error] [pid 1870] [client 127.0.0.1:52693] PHP Notice:  Access to undefined property setStatus in /var/www/enbay-com-vn/app/controllers/IndexController.php on line 24
[Tue Jan 12 19:07:47.921800 2016] [:error] [pid 1866] [client 127.0.0.1:52702] PHP Notice:  Access to undefined property setStatus in /var/www/enbay-com-vn/app/controllers/IndexController.php on line 24
[Tue Jan 12 19:20:47.232627 2016] [:error] [pid 1867] [client 127.0.0.1:52944] PHP Notice:  Access to undefined property setStatus in /var/www/enbay-com-vn/app/controllers/IndexController.php on line 24
[Tue Jan 12 19:22:27.473760 2016] [:error] [pid 1868] [client 127.0.0.1:52948] PHP Notice:  Access to undefined property setStatus in /var/www/enbay-com-vn/app/controllers/IndexController.php on line 24
[Tue Jan 12 19:55:12.246577 2016] [:error] [pid 1866] [client 127.0.0.1:52962] PHP Notice:  Access to undefined property setStatus in /var/www/enbay-com-vn/app/controllers/IndexController.php on line 24
[Tue Jan 12 19:58:36.781415 2016] [:error] [pid 4243] [client 127.0.0.1:52968] PHP Notice:  Access to undefined property setStatus in /var/www/enbay-com-vn/app/controllers/IndexController.php on line 24
[Tue Jan 12 19:58:38.012724 2016] [:error] [pid 4243] [client 127.0.0.1:52968] PHP Notice:  Access to undefined property setStatus in /var/www/enbay-com-vn/app/controllers/IndexController.php on line 24
[Tue Jan 12 19:58:42.678939 2016] [:error] [pid 1870] [client 127.0.0.1:52969] PHP Notice:  Access to undefined property setStatus in /var/www/enbay-com-vn/app/controllers/IndexController.php on line 24
[Tue Jan 12 19:58:44.802375 2016] [:error] [pid 1870] [client 127.0.0.1:52969] PHP Notice:  Access to undefined property setStatus in /var/www/enbay-com-vn/app/controllers/IndexController.php on line 24
[Tue Jan 12 19:59:58.191652 2016] [:error] [pid 1868] [client 127.0.0.1:52977] PHP Notice:  Access to undefined property setStatus in /var/www/enbay-com-vn/app/controllers/IndexController.php on line 24
[Tue Jan 12 20:00:04.427492 2016] [:error] [pid 1866] [client 127.0.0.1:52978] PHP Notice:  Access to undefined property setStatus in /var/www/enbay-com-vn/app/controllers/IndexController.php on line 24
[Tue Jan 12 20:00:05.593115 2016] [:error] [pid 1866] [client 127.0.0.1:52978] PHP Notice:  Access to undefined property setStatus in /var/www/enbay-com-vn/app/controllers/IndexController.php on line 24
[Tue Jan 12 20:00:35.785146 2016] [:error] [pid 3441] [client 127.0.0.1:52987] PHP Notice:  Access to undefined property setStatus in /var/www/enbay-com-vn/app/controllers/IndexController.php on line 24
[Tue Jan 12 20:01:28.235660 2016] [:error] [pid 1868] [client 127.0.0.1:52990] PHP Notice:  Access to undefined property setStatus in /var/www/enbay-com-vn/app/controllers/IndexController.php on line 24
[Tue Jan 12 20:01:29.583142 2016] [:error] [pid 1868] [client 127.0.0.1:52990] PHP Notice:  Access to undefined property setStatus in /var/www/enbay-com-vn/app/controllers/IndexController.php on line 24
[Tue Jan 12 20:01:42.865645 2016] [:error] [pid 1870] [client 127.0.0.1:52998] PHP Notice:  Access to undefined property setStatus in /var/www/enbay-com-vn/app/controllers/IndexController.php on line 24
[Tue Jan 12 20:02:10.924854 2016] [:error] [pid 1869] [client 127.0.0.1:53001] PHP Notice:  Access to undefined property setStatus in /var/www/enbay-com-vn/app/controllers/IndexController.php on line 24
[Tue Jan 12 20:02:15.669246 2016] [:error] [pid 1868] [client 127.0.0.1:53002] PHP Notice:  Access to undefined property setStatus in /var/www/enbay-com-vn/app/controllers/IndexController.php on line 24
[Tue Jan 12 20:02:17.994667 2016] [:error] [pid 1869] [client 127.0.0.1:53001] PHP Notice:  Access to undefined property setStatus in /var/www/enbay-com-vn/app/controllers/IndexController.php on line 24
[Tue Jan 12 20:02:24.307678 2016] [:error] [pid 1868] [client 127.0.0.1:53002] PHP Notice:  Access to undefined property setStatus in /var/www/enbay-com-vn/app/controllers/IndexController.php on line 24
[Tue Jan 12 20:02:32.809955 2016] [:error] [pid 1870] [client 127.0.0.1:53011] PHP Notice:  Access to undefined property setStatus in /var/www/enbay-com-vn/app/controllers/IndexController.php on line 24
